idd,species_id,version_id,flavor_text
48,2,26,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
49,3,1,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight."
50,3,2,"The plant blooms
when it is
absorbing solarenergy. It stays
on the move to
seek sunlight."
51,3,3,"The flower on its
back catches the
sun's rays.The sunlight is
then absorbed and
used for energy."
52,3,4,"By spreading the
broad petals of
its flower andcatching the sun's
rays, it fills its
body with power."
53,3,5,"It is able to con­
vert sunlight into
energy. As aresult, it is more
powerful in the
summertime."
54,3,6,"As it warms it­
self and absorbs
the sunlight, itsflower petals
release a pleasant
fragrance."
55,3,7,"There is a large flower on VENUSAUR’s
back. The flower is said to take on vivid
colors if it gets plenty of nutritionand sunlight. The flower’s aroma
soothes the emotions of people."
56,3,8,"There is a large flower on VENUSAUR’s
back. The flower is said to take on vivid
colors if it gets plenty of nutritionand sunlight. The flower’s aroma
soothes the emotions of people."
57,3,9,"VENUSAUR’s flower is said to take on vivid
colors if it gets plenty of nutrition and
sunlight. The flower’s aroma soothes the
emotions of people."
58,3,10,"A bewitching aroma wafts from its flower.
The fragrance becalms those engaged in
a battle."
59,3,11,"Its plant blooms when it is absorbing
solar energy. It stays on the move to
seek sunlight."
60,3,12,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
61,3,13,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
62,3,14,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
63,3,15,"By spreading the broad petals of
its flower and catching the sun’s
rays, it fills its body with power."
64,3,16,"It is able to convert sunlight into
energy. As a result, it is more
powerful in the summertime."
65,3,17,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
66,3,18,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
67,3,21,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
68,3,22,"After a rainy day, the flower on
its back smells stronger. The
scent attracts other Pokémon."
69,3,23,"By spreading the broad petals of its flower
and catching the sun’s rays, it fills its body
with power."
70,3,24,"After a rainy day, the flower on its back smells
stronger. The scent attracts other Pokémon."
71,3,25,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people."
72,3,26,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people."
73,4,1,"Obviously prefers
hot places. When
it rains, steamis said to spout
from the tip of
its tail."
74,4,2,"Obviously prefers
hot places. When
it rains, steamis said to spout
from the tip of
its tail."
75,4,3,"The flame at the
tip of its tail
makes a sound asit burns. You can
only hear it in
quiet places."
76,4,4,"The flame on its
tail shows the
strength of itslife force. If it
is weak, the flame
also burns weakly."
77,4,5,"The flame on its
tail indicates
CHARMANDER's lifeforce. If it is
healthy, the flame
burns brightly."
78,4,6,"If it's healthy,
the flame on the
tip of its tailwill burn vigor­
ously, even if it
gets a bit wet."
79,4,7,"The flame that burns at the tip of its
tail is an indication of its emotions.
The flame wavers when CHARMANDER isenjoying itself. If the POKéMON becomes
enraged, the flame burns fiercely."
80,4,8,"The flame that burns at the tip of its
tail is an indication of its emotions.
The flame wavers when CHARMANDER isenjoying itself. If the POKéMON becomes
enraged, the flame burns fiercely."
81,4,9,"The flame that burns at the tip of its
tail is an indication of its emotions.
The flame wavers when CHARMANDER is
happy, and blazes when it is enraged."
82,4,10,"From the time it is born, a flame burns
at the tip of its tail. Its life would end
if the flame were to go out."
83,4,11,"It has a preference for hot things.
When it rains, steam is said to spout from
the tip of its tail."
84,4,12,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
85,4,13,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
86,4,14,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
87,4,15,"The flame on its tail shows the
strength of its life force. If it is weak,
the flame also burns weakly."
88,4,16,"The flame on its tail indicates
CHARMANDER’s life force. If it is
healthy, the flame burns brightly."
89,4,17,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
90,4,18,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
91,4,21,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
92,4,22,"The fire on the tip of its tail is a
measure of its life. If healthy,
its tail burns intensely."
93,4,23,"The flame on its tail indicates Charmander’s life
force. If it is healthy, the flame burns brightly."
94,4,24,"From the time it is born, a flame burns at the tip of
its tail. Its life would end if the flame were to
go out."
95,4,25,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely."
96,4,26,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely."
97,5,1,"When it swings
its burning tail,
it elevates thetemperature to
unbearably high
levels."
98,5,2,"When it swings
its burning tail,
it elevates thetemperature to
unbearably high
levels."
99,5,3,"Tough fights could
excite this
POKéMON. Whenexcited, it may
blow out bluish-
white flames."
100,5,4,"It is very hot­
headed by nature,
so it constantlyseeks opponents.
It calms down only
when it wins."
101,5,5,"It has a barbaric
nature. In battle,
it whips itsfiery tail around
and slashes away
with sharp claws."
102,5,6,"If it becomes
agitated during
battle, it spoutsintense flames,
incinerating its
surroundings."
103,5,7,"CHARMELEON mercilessly destroys its
foes using its sharp claws.
If it encounters a strong foe, it turnsaggressive. In this excited state, the
flame at the tip of its tail flares with a
bluish white color."
104,5,8,"CHARMELEON mercilessly destroys its
foes using its sharp claws.
If it encounters a strong foe, it turnsaggressive. In this excited state, the
flame at the tip of its tail flares with a
bluish white color."
105,5,9,"Without pity, its sharp claws destroy foes.
If it encounters a strong enemy, it
becomes agitated, and the flame on its
tail flares with a bluish white color."
106,5,10,"It lashes about with its tail to knock
down its foe. It then tears up the fallen
opponent with sharp claws."
107,5,11,"When it swings its burning tail, it
elevates the air temperature to 
unbearably high levels."
108,5,12,"In the rocky mountains where
CHARMELEON live, their fiery
tails shine at night like stars."
109,5,13,"In the rocky mountains where
CHARMELEON live, their fiery
tails shine at night like stars."
110,5,14,"In the rocky mountains where
CHARMELEON live, their fiery
tails shine at night like stars."
111,5,15,"It is very hotheaded by nature,
so it constantly seeks opponents.
It calms down only when it wins."
112,5,16,"It has a barbaric nature. In battle,
it whips its fiery tail around
and slashes away with sharp claws."
113,5,17,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars."
114,5,18,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars."
115,5,21,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars."
116,5,22,"In the rocky mountains where
Charmeleon live, their fiery
tails shine at night like stars."
117,5,23,"It lashes about with its tail to knock down its foe.
It then tears up the fallen opponent with
sharp claws."
118,5,24,"When it swings its burning tail, it elevates the air
temperature to unbearably high levels."
119,5,25,"Charmeleon mercilessly destroys its foes using its sharp claws.
If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with a
bluish white color."
120,5,26,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
121,6,1,"Spits fire that
is hot enough to
melt boulders.Known to cause
forest fires
unintentionally."
122,6,2,"Spits fire that
is hot enough to
melt boulders.Known to cause
forest fires
unintentionally."
123,6,3,"When expelling a
blast of super
hot fire, the redflame at the tip
of its tail burns
more intensely."
124,6,4,"If CHARIZARD be­
comes furious, the
flame at the tipof its tail flares
up in a whitish-
blue color."
125,6,5,"Breathing intense,
hot flames, it can
melt almost any­thing. Its breath
inflicts terrible
pain on enemies."
126,6,6,"It uses its wings
to fly high. The
temperature of itsfire increases as
it gains exper­
ience in battle."
127,6,7,"CHARIZARD flies around the sky in
search of powerful opponents.
It breathes fire of such great heatthat it melts anything. However, it
never turns its fiery breath on any
opponent weaker than itself."
128,6,8,"CHARIZARD flies around the sky in
search of powerful opponents.
It breathes fire of such great heatthat it melts anything. However, it
never turns its fiery breath on any
opponent weaker than itself."
129,6,9,"A CHARIZARD flies about in search of
strong opponents. It breathes intense
flames that can melt any material. However,
it will never torch a weaker foe."
130,6,10,"Its wings can carry this POKéMON close to
an altitude of 4,600 feet. It blows out
fire at very high temperatures."
131,6,11,"It spits fire that is hot enough to melt
boulders. It may cause forest fires by
blowing flames."
132,6,12,"It is said that CHARIZARD’s fire
burns hotter if it has
experienced harsh battles."
133,6,13,"It is said that CHARIZARD’s fire
burns hotter if it has
experienced harsh battles."
134,6,14,"It is said that CHARIZARD’s fire
burns hotter if it has
experienced harsh battles."
135,6,15,"If CHARIZARD becomes furious,
the flame at the tip of its tail flares
up in a light blue shade."
136,6,16,"Breathing intense, hot flames, it can
melt almost anything. Its breath
inflicts terrible pain on enemies."
137,6,17,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles."
138,6,18,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles."
139,6,21,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles."
140,6,22,"It is said that Charizard’s fire
burns hotter if it has
experienced harsh battles."
141,6,23,"When expelling a blast of superhot fire,
the red flame at the tip of its tail burns
more intensely."
142,6,24,"Its wings can carry this Pokémon close to an
altitude of 4,600 feet. It blows out fire at very
high temperatures."
143,6,25,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
144,6,26,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
145,7,1,"After birth, its
back swells and
hardens into ashell. Powerfully
sprays foam from
its mouth."
146,7,2,"After birth, its
back swells and
hardens into ashell. Powerfully
sprays foam from
its mouth."
147,7,3,"Shoots water at
prey while in the
water.Withdraws into
its shell when in
danger."
148,7,4,"The shell is soft
when it is born.
It soon becomes soresilient, prod­
ding fingers will
bounce off it."
149,7,5,"The shell, which
hardens soon after
it is born, isresilient. If you
poke it, it will
bounce back out."
150,7,6,"When it feels
threatened, it
draws its legsinside its shell
and sprays water
from its mouth."
151,7,7,"SQUIRTLE’s shell is not merely used
for protection.
The shell’s rounded shape and thegrooves on its surface help minimize
resistance in water, enabling this
POKéMON to swim at high speeds."
152,7,8,"SQUIRTLE’s shell is not merely used
for protection.
The shell’s rounded shape and thegrooves on its surface help minimize
resistance in water, enabling this
POKéMON to swim at high speeds."
153,7,9,"Its shell is not just for protection.
Its rounded shape and the grooves on its
surface minimize resistance in water,
enabling SQUIRTLE to swim at high speeds."
154,7,10,"When it retracts its long neck into its
shell, it squirts out water with vigorous
force."
155,7,11,"After birth, its back swells and hardens
into a shell. It powerfully sprays foam 
from its mouth."
156,7,12,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity."
157,7,13,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity."
158,7,14,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity."
159,7,15,"The shell is soft when it is born.
It soon becomes so resilient,
prodding fingers will bounce off it."
160,7,16,"The shell, which hardens soon after
it is born, is resilient. If you
poke it, it will bounce back out."
161,7,17,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity."
162,7,18,"It shelters itself in its shell,
then strikes back with spouts of
water at every opportunity."
163,7,21,"It shelters itself in its shell
then strikes back with spouts of
water at every opportunity."
164,7,22,"It shelters itself in its shell
then strikes back with spouts of
water at every opportunity."
165,7,23,"It shelters itself in its shell, then strikes back
with spouts of water at every opportunity."
166,7,24,"Shoots water at prey while in the water. Withdraws
into its shell when in danger."
167,7,25,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its surface
help minimize resistance in water, enabling this Pokémon
to swim at high speeds."
168,7,26,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds."
169,8,1,"Often hides in
water to stalk
unwary prey. Forswimming fast, it
moves its ears to
maintain balance."
170,8,2,"Often hides in
water to stalk
unwary prey. Forswimming fast, it
moves its ears to
maintain balance."
171,8,3,"When tapped, this
POKéMON will pull
in its head, butits tail will
still stick out a
little bit."
172,8,4,"It is recognized
as a symbol of
longevity. If itsshell has algae on
it, that WARTORTLE
is very old."
173,8,5,"It cleverly con­
trols its furry
ears and tail tomaintain its
balance while
swimming."
174,8,6,"Its long, furry
tail is a symbol
of longevity,making it quite
popular among
older people."
175,8,7,"Its tail is large and covered with a rich,
thick fur. The tail becomes increasingly
deeper in color as WARTORTLE ages.The scratches on its shell are evidence
of this POKéMON’s toughness as a
battler."
176,8,8,"Its tail is large and covered with a rich,
thick fur. The tail becomes increasingly
deeper in color as WARTORTLE ages.The scratches on its shell are evidence
of this POKéMON’s toughness as a
battler."
177,8,9,"Its large tail is covered with rich, thick
fur that deepens in color with age.
The scratches on its shell are evidence
of this POKéMON’s toughness in battle."
178,8,10,"This POKéMON is very popular as a pet.
Its fur-covered tail is a symbol of its
longevity."
179,8,11,"It often hides in water to stalk unwary
prey. For fast swimming, it moves its
ears to maintain balance."
180,8,12,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
181,8,13,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
182,8,14,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
183,8,15,"It is a well-established symbol of
longevity. If its shell has algae on it,
that WARTORTLE is very old."
184,8,16,"It cleverly controls its furry
ears and tail to maintain its
balance while swimming."
185,8,17,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
186,8,18,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
187,8,21,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
188,8,22,"It is said to live 10,000 years.
Its furry tail is popular as a
symbol of longevity."
189,8,23,"When tapped, this Pokémon will pull in its head,
but its tail will still stick out a little bit."
190,8,24,"It is said to live 10,000 years. Its furry tail is
popular as a symbol of longevity."
191,8,25,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler."
192,8,26,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler."
193,9,1,"A brutal POKéMON
with pressurized
water jets on itsshell. They are
used for high
speed tackles."
194,9,2,"A brutal POKéMON
with pressurized
water jets on itsshell. They are
used for high
speed tackles."
195,9,3,"Once it takes aim
at its enemy, it
blasts out waterwith even more
force than a fire
hose."
196,9,4,"It deliberately
makes itself heavy
so it can with­stand the recoil
of the water jets
it fires."
197,9,5,"The rocket cannons
on its shell fire
jets of watercapable of punch­
ing holes through
thick steel."
198,9,6,"It firmly plants
its feet on the
ground beforeshooting water
from the jets on
its back."
199,9,7,"BLASTOISE has water spouts that
protrude from its shell. The water
spouts are very accurate.They can shoot bullets of water with
enough accuracy to strike empty cans
from a distance of over 160 feet."
200,9,8,"BLASTOISE has water spouts that
protrude from its shell. The water
spouts are very accurate.They can shoot bullets of water with
enough accuracy to strike empty cans
from a distance of over 160 feet."
201,9,9,"The waterspouts that protrude from its
shell are highly accurate. Their bullets of
water can precisely nail tin cans from
a distance of over 160 feet."
202,9,10,"It crushes its foe under its heavy body
to cause fainting. In a pinch, it will
withdraw inside its shell."
203,9,11,"The pressurized water jets on this brutal
POKéMON’s shell are used for high-
speed tackles."
204,9,12,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
205,9,13,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
206,9,14,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
207,9,15,"It deliberately makes itself heavy
so it can withstand the recoil
of the water jets it fires."
208,9,16,"The rocket cannons on its shell fire
jets of water capable of punching
holes through thick steel."
209,9,17,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
210,9,18,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
211,9,21,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
212,9,22,"The jets of water it spouts from
the rocket cannons on its shell
can punch through thick steel."
213,9,23,"It crushes its foe under its heavy body to cause
fainting. In a pinch, it will withdraw inside its shell."
214,9,24,"The pressurized water jets on this brutal Pokémon’s
shell are used for high-speed tackles."
215,9,25,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate. They can shoot bullets of
water with enough accuracy to strike empty cans from a
distance of over 160 feet."
216,9,26,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
217,10,1,"Its short feet
are tipped with
suction pads thatenable it to
tirelessly climb
slopes and walls."
218,10,2,"Its short feet
are tipped with
suction pads thatenable it to
tirelessly climb
slopes and walls."
219,10,3,"If you touch the
feeler on top of
its head, it willrelease a horrible
stink to protect
itself."
220,10,4,"For protection, it
releases a horri­
ble stench fromthe antenna on its
head to drive away
enemies."
221,10,5,"Its feet have
suction cups
designed to stickto any surface. It
tenaciously climbs
trees to forage."
222,10,6,"It crawls into
foliage where it
camouflages itselfamong leaves that
are the same color
as its body."
223,10,7,"CATERPIE has a voracious appetite.
It can devour leaves bigger than its
body right before your eyes.From its antenna, this POKéMON releases
a terrifically strong odor."
224,10,8,"CATERPIE has a voracious appetite.
It can devour leaves bigger than its
body right before your eyes.From its antenna, this POKéMON releases
a terrifically strong odor."
225,10,9,"Its voracious appetite compels it to
devour leaves bigger than itself without
hesitation. It releases a terribly strong
odor from its antennae."
226,10,10,"It is covered with a green skin. When it
grows, it sheds the skin, covers itself
with silk, and becomes a cocoon."
227,10,11,"Its short feet are tipped with suction
pads that enable it to tirelessly climb
slopes and walls."
228,10,12,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
229,10,13,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
230,10,14,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
231,10,15,"For protection, it releases a horrible
stench from the antennae on its
head to drive away enemies."
232,10,16,"Its feet have suction cups
designed to stick to any surface. It
tenaciously climbs trees to forage."
233,10,17,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
234,10,18,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
235,10,21,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
236,10,22,"It releases a stench from its red
antenna to repel enemies. It
grows by molting repeatedly."
237,10,23,"For protection, it releases a horrible stench from
the antennae on its head to drive away enemies."
238,10,24,"Its feet have suction cups designed to stick to any
surface. It tenaciously climbs trees to forage."
239,10,25,"Caterpie has a voracious appetite. It can devour leaves bigger
than its body right before your eyes. From its antenna, this
Pokémon releases a terrifically strong odor."
240,10,26,"Caterpie has a voracious appetite. It can devour leaves
bigger than its body right before your eyes. From its antenna,
this Pokémon releases a terrifically strong odor."
241,10,28,"It’s easy to catch, and it grows quickly, making
it one of the top recommendations for novice
Pokémon Trainers."
242,10,29,"Perhaps because it would like to grow up
quickly, it has a voracious appetite, eating
a hundred leaves a day."
243,11,1,"This POKéMON is
vulnerable to
attack while itsshell is soft,
exposing its weak
and tender body."
244,11,2,"This POKéMON is
vulnerable to
attack while itsshell is soft,
exposing its weak
and tender body."
245,11,3,"Hardens its shell
to protect itself.
However, a largeimpact may cause
it to pop out of
its shell."
246,11,4,"Inside the shell,
it is soft and
weak as it pre­pares to evolve.
It stays motion­
less in the shell."
247,11,5,"It prepares for
evolution by har­
dening its shellas much as possi­
ble to protect its
soft body."
248,11,6,"This is its pre-
evolved form. At
this stage, it canonly harden, so it
remains motionless
to avoid attack."
249,11,7,"The shell covering this POKéMON’s body
is as hard as an iron slab.
METAPOD does not move very much.It stays still because it is preparing
its soft innards for evolution inside
the hard shell."
250,11,8,"The shell covering this POKéMON’s body
is as hard as an iron slab.
METAPOD does not move very much.It stays still because it is preparing
its soft innards for evolution inside
the hard shell."
251,11,9,"Its shell is as hard as an iron slab.
A METAPOD does not move very much
because it is preparing its soft innards
for evolution inside the shell."
252,11,10,"Even though it is encased in a sturdy
shell, the body inside is tender.
It can’t withstand a harsh attack."
253,11,11,"This POKéMON is vulnerable to attack
while its shell is soft, exposing its weak
and tender body."
254,11,12,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
255,11,13,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
256,11,14,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
257,11,15,"Inside the shell, it is soft and
weak as it prepares to evolve.
It stays motionless in the shell."
258,11,16,"It prepares for evolution by hardening
its shell as much as possible
to protect its soft body."
259,11,17,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
260,11,18,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
261,11,21,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
262,11,22,"A steel-hard shell protects its
tender body. It quietly endures
hardships while awaiting evolution."
263,11,23,"A steel-hard shell protects its tender body.
It quietly endures hardships while
awaiting evolution."
264,11,24,"This Pokémon is vulnerable to attack while its shell
is soft, exposing its weak and tender body."
265,11,25,"The shell covering this Pokémon’s body is as hard as an
iron slab. Metapod does not move very much. It stays still
because it is preparing its soft innards for evolution inside
the hard shell."
266,11,26,"The shell covering this Pokémon’s body is as hard as an
iron slab. Metapod does not move very much.
It stays still because it is preparing its soft innards for
evolution inside the hard shell."
267,11,28,"Its shell is hard, but it’s still just a bug shell.
It’s been known to break, so intense battles
with it should be avoided."
268,11,29,"Its shell is filled with a thick liquid. All of the
cells throughout its body are being rebuilt in
preparation for evolution."
269,12,1,"In battle, it
flaps its wings
at high speed torelease highly
toxic dust into
the air."
270,12,2,"In battle, it
flaps its wings
at high speed torelease highly
toxic dust into
the air."
271,12,3,"Its wings, covered
with poisonous
powders, repelwater. This
allows it to fly
in the rain."
272,12,4,"It collects honey
every day. It rubs
honey onto thehairs on its legs
to carry it back
to its nest."
273,12,5,"Water-repellent
powder on its
wings enables itto collect honey,
even in the heav­
iest of rains."
274,12,6,"It flits from
flower to flower,
collecting honey.It can even
identify distant
flowers in bloom."
275,12,7,"BUTTERFREE has a superior ability to
search for delicious honey from
flowers.It can even search out, extract, and
carry honey from flowers that are
blooming over six miles from its nest."
276,12,8,"BUTTERFREE has a superior ability to
search for delicious honey from
flowers.It can even search out, extract, and
carry honey from flowers that are
blooming over six miles from its nest."
277,12,9,"It has a superior ability to search for
delicious honey from flowers. It can seek,
extract, and carry honey from flowers
blooming over six miles away."
278,12,10,"The wings are protected by rain-repellent
dust. As a result, this POKéMON can fly
about even in rain."
279,12,11,"In battle, it flaps its wings at great
speed to release highly toxic dust into
the air."
280,12,12,"It loves the honey of flowers and
can locate flower patches that
have even tiny amounts of pollen."
