id,ability_id,version_group_id,flavor_text
141,12,15,"Keeps the Pokémon from being
infatuated or falling for taunts."
142,12,16,"Keeps the Pokémon from being
infatuated or falling for taunts."
143,12,17,"The Pokémon is oblivious, and that keeps it from
being infatuated or falling for taunts."
144,12,18,"The Pokémon is oblivious, and that keeps it from
being infatuated or falling for taunts."
145,13,5,Negates weather effects.
146,13,6,Negates weather effects.
147,13,7,Negates weather effects.
148,13,8,"Eliminates the effects of
weather."
149,13,9,"Eliminates the effects of
weather."
150,13,10,"Eliminates the effects of
weather."
151,13,11,"Eliminates the effects of
weather."
152,13,14,"Eliminates the effects of
weather."
153,13,15,"Eliminates the effects of
weather."
154,13,16,Eliminates the effects of weather.
155,13,17,Eliminates the effects of weather.
156,13,18,Eliminates the effects of weather.
157,14,5,Raises accuracy.
158,14,6,Raises accuracy.
159,14,7,Raises accuracy.
160,14,8,"The Pokémon’s accuracy is
boosted."
161,14,9,"The Pokémon’s accuracy is
boosted."
162,14,10,"The Pokémon’s accuracy
is boosted."
163,14,11,"The Pokémon’s accuracy
is boosted."
164,14,14,"The Pokémon’s accuracy
is boosted."
165,14,15,Boosts the Pokémon’s accuracy.
166,14,16,Boosts the Pokémon’s accuracy.
167,14,17,The Pokémon’s compound eyes boost its accuracy.
168,14,18,The Pokémon’s compound eyes boost its accuracy.
169,15,5,Prevents sleep.
170,15,6,Prevents sleep.
171,15,7,Prevents sleep.
172,15,8,"Prevents the Pokémon
from falling asleep."
173,15,9,"Prevents the Pokémon
from falling asleep."
174,15,10,"Prevents the Pokémon
from falling asleep."
175,15,11,"Prevents the Pokémon
from falling asleep."
176,15,14,"Prevents the Pokémon
from falling asleep."
177,15,15,"Prevents the Pokémon
from falling asleep."
178,15,16,"Prevents the Pokémon
from falling asleep."
179,15,17,"The Pokémon is suffering from insomnia and cannot
fall asleep."
180,15,18,"The Pokémon is suffering from insomnia and cannot
fall asleep."
181,16,5,Changes type to foe’s move.
182,16,6,Changes type to foe’s move.
183,16,7,Changes type to foe’s move.
184,16,8,"Changes the Pokémon’s
type to the foe’s move."
185,16,9,"Changes the Pokémon’s
type to the foe’s move."
186,16,10,"Changes the Pokémon’s
type to the foe’s move."
187,16,11,"Changes the Pokémon’s
type to the foe’s move."
188,16,14,"Changes the Pokémon’s
type to the foe’s move."
189,16,15,"The Pokémon’s type becomes
the type of the move used on it."
190,16,16,"The Pokémon’s type becomes
the type of the move used on it."
191,16,17,"The Pokémon’s type becomes the type of the move
used on it."
192,16,18,"The Pokémon’s type becomes the type of the move
used on it."
193,17,5,Prevents poisoning.
194,17,6,Prevents poisoning.
195,17,7,Prevents poisoning.
196,17,8,"Prevents the Pokémon
from getting poisoned."
197,17,9,"Prevents the Pokémon
from getting poisoned."
198,17,10,"Prevents the Pokémon
from getting poisoned."
199,17,11,"Prevents the Pokémon
from getting poisoned."
200,17,14,"Prevents the Pokémon
from getting poisoned."
201,17,15,"Prevents the Pokémon
from getting poisoned."
202,17,16,"Prevents the Pokémon
from getting poisoned."
203,17,17,"The immune system of the Pokémon prevents it from
getting poisoned."
204,17,18,"The immune system of the Pokémon prevents it from
getting poisoned."
205,18,5,Powers up if hit by fire.
206,18,6,Powers up if hit by fire.
207,18,7,Powers up if hit by fire.
208,18,8,"Powers up Fire-type moves
if hit by a fire move."
209,18,9,"Powers up Fire-type moves
if hit by a fire move."
210,18,10,"It powers up Fire-type
moves if it’s hit by one."
211,18,11,"It powers up Fire-type
moves if it’s hit by one."
212,18,14,"It powers up Fire-type
moves if it’s hit by one."
213,18,15,"Powers up the Pokémon’s Fire-
type moves if it’s hit by one."
214,18,16,"Powers up the Pokémon’s
Fire-type moves if it’s hit by one."
215,18,17,"Powers up the Pokémon’s Fire-type moves if it’s hit
by one."
216,18,18,"Powers up the Pokémon’s Fire-type moves if it’s hit
by one."
217,19,5,Prevents added effects.
218,19,6,Prevents added effects.
219,19,7,Prevents added effects.
220,19,8,"Blocks the added effects
of attacks taken."
221,19,9,"Blocks the added effects
of attacks taken."
222,19,10,"Blocks the added effects
of attacks taken."
223,19,11,"Blocks the added effects
of attacks taken."
224,19,14,"Blocks the added effects
of attacks taken."
225,19,15,"Blocks the additional effects
of attacks taken."
226,19,16,"Blocks the additional effects
of attacks taken."
227,19,17,"This Pokémon’s dust blocks the additional effects of
attacks taken."
228,19,18,"This Pokémon’s dust blocks the additional effects of
attacks taken."
229,20,5,Prevents confusion.
230,20,6,Prevents confusion.
231,20,7,Prevents confusion.
232,20,8,"Prevents the Pokémon
from becoming confused."
233,20,9,"Prevents the Pokémon
from becoming confused."
234,20,10,"Prevents the Pokémon
from becoming confused."
235,20,11,"Prevents the Pokémon
from becoming confused."
236,20,14,"Prevents the Pokémon
from becoming confused."
237,20,15,"Prevents the Pokémon
from becoming confused."
238,20,16,"Prevents the Pokémon
from becoming confused."
239,20,17,"This Pokémon has its own tempo, and that prevents
it from becoming confused."
240,20,18,"This Pokémon has its own tempo, and that prevents
it from becoming confused."
241,21,5,Firmly anchors the body.
242,21,6,Firmly anchors the body.
243,21,7,Firmly anchors the body.
244,21,8,"Negates moves that
force switching out."
245,21,9,"Negates moves that
force switching out."
246,21,10,"Negates foes’ moves that
force switching out."
247,21,11,"Negates all moves that
force switching out."
248,21,14,"Negates all moves that
force switching out."
249,21,15,"Negates all moves and items
that force switching out."
250,21,16,"Negates all moves and items
that force switching out."
251,21,17,"This Pokémon uses suction cups to stay in one spot
to negate all moves and items that force
switching out."
252,21,18,"This Pokémon uses suction cups to stay in one spot
to negate all moves and items that force
switching out."
253,22,5,Lowers the foe’s ATTACK.
254,22,6,Lowers the foe’s ATTACK.
255,22,7,Lowers the foe’s ATTACK.
256,22,8,"Lowers the foe’s Attack
stat."
257,22,9,"Lowers the foe’s Attack
stat."
258,22,10,"Lowers the foe’s
Attack stat."
259,22,11,"Lowers the foe’s
Attack stat."
260,22,14,"Lowers the foe’s
Attack stat."
261,22,15,"Lowers the opposing Pokémon’s
Attack stat."
262,22,16,"Lowers the opposing Pokémon’s
Attack stat."
263,22,17,"The Pokémon intimidates opposing Pokémon upon
entering battle, lowering their Attack stat."
264,22,18,"The Pokémon intimidates opposing Pokémon upon
entering battle, lowering their Attack stat."
265,23,5,Prevents the foe’s escape.
266,23,6,Prevents the foe’s escape.
267,23,7,Prevents the foe’s escape.
268,23,8,"Prevents the foe from
escaping."
269,23,9,"Prevents the foe from
escaping."
270,23,10,"Prevents the foe from
escaping."
271,23,11,"Prevents the foe from
escaping."
272,23,14,"Prevents the foe from
escaping."
273,23,15,"Prevents opposing Pokémon
from escaping."
274,23,16,"Prevents opposing Pokémon
from escaping."
275,23,17,"This Pokémon steps on the opposing Pokémon’s
shadow to prevent it from escaping."
276,23,18,"This Pokémon steps on the opposing Pokémon’s
shadow to prevent it from escaping."
277,24,5,Hurts to touch.
278,24,6,Hurts to touch.
279,24,7,Hurts to touch.
280,24,8,"Inflicts damage to the
foe on contact."
281,24,9,"Inflicts damage to the
foe on contact."
282,24,10,"Inflicts damage to the
foe on contact."
283,24,11,"Inflicts damage to the
attacker on contact."
284,24,14,"Inflicts damage to the
attacker on contact."
285,24,15,"Inflicts damage to the
attacker on contact."
286,24,16,"Inflicts damage to the
attacker on contact."
287,24,17,"This Pokémon inflicts damage with its rough skin
to the attacker on contact."
288,24,18,"This Pokémon inflicts damage with its rough skin
to the attacker on contact."
289,25,5,“Super effective” hits.
290,25,6,“Super effective” hits.
291,25,7,“Super effective” hits.
292,25,8,"Only supereffective
moves will hit."
293,25,9,"Only supereffective
moves will hit."
294,25,10,"Only supereffective
moves will hit."
295,25,11,"Only supereffective
moves will hit."
296,25,14,"Only supereffective
moves will hit."
297,25,15,"Only supereffective
moves will hit."
298,25,16,"Only supereffective
moves will hit."
299,25,17,"Its mysterious power only lets supereffective moves
hit the Pokémon."
300,25,18,"Its mysterious power only lets supereffective moves
hit the Pokémon."
301,26,5,Not hit by GROUND attacks.
302,26,6,Not hit by GROUND attacks.
303,26,7,Not hit by GROUND attacks.
304,26,8,"Gives full immunity to all
Ground-type moves."
305,26,9,"Gives full immunity to all
Ground-type moves."
306,26,10,"Gives full immunity to all
Ground-type moves."
307,26,11,"Gives full immunity to all
Ground-type moves."
308,26,14,"Gives full immunity to all
Ground-type moves."
309,26,15,"Gives full immunity to all
Ground-type moves."
310,26,16,"Gives full immunity to all
Ground-type moves."
311,26,17,"By floating in the air, the Pokémon receives full
immunity to all Ground-type moves."
312,26,18,"By floating in the air, the Pokémon receives full
immunity to all Ground-type moves."
313,27,5,Leaves spores on contact.
314,27,6,Leaves spores on contact.
315,27,7,Leaves spores on contact.
316,27,8,"Contact may paralyze,
poison, or cause sleep."
317,27,9,"Contact may paralyze,
poison, or cause sleep."
318,27,10,"Contact may paralyze,
poison, or cause sleep."
319,27,11,"Contact may poison or
cause paralysis or sleep."
320,27,14,"Contact may poison or
cause paralysis or sleep."
321,27,15,"Contact may poison or
cause paralysis or sleep."
322,27,16,"Contact may poison or
cause paralysis or sleep."
323,27,17,"Contact with the Pokémon may inflict poison, sleep,
or paralysis on its attacker."
324,27,18,"Contact with the Pokémon may inflict poison, sleep,
or paralysis on its attacker."
325,28,5,Passes on status problems.
326,28,6,Passes on status problems.
327,28,7,Passes on status problems.
328,28,8,"Passes on a burn, poison,
or paralysis to the foe."
329,28,9,"Passes on a burn, poison,
or paralysis to the foe."
330,28,10,"Passes a burn, poison,
or paralysis to the foe."
331,28,11,"Passes a burn, poison,
or paralysis to the foe."
332,28,14,"Passes a burn, poison,
or paralysis to the foe."
333,28,15,"Passes poison, paralyze, or burn
to the Pokémon that inflicted it."
334,28,16,"Passes poison, paralyze, or burn
to the Pokémon that inflicted it."
335,28,17,"The attacker will receive the same status condition if
it inflicts a burn, poison, or paralysis to the Pokémon."
336,28,18,"The attacker will receive the same status condition if
it inflicts a burn, poison, or paralysis to the Pokémon."
337,29,5,Prevents ability reduction.
338,29,6,Prevents ability reduction.
339,29,7,Prevents ability reduction.
340,29,8,"Prevents the Pokémon’s
stats from being lowered."
341,29,9,"Prevents the Pokémon’s
stats from being lowered."
342,29,10,"Prevents its stats from
being lowered."
343,29,11,"Prevents other Pokémon
from lowering its stats."
344,29,14,"Prevents other Pokémon
from lowering its stats."
345,29,15,"Prevents other Pokémon
from lowering its stats."
346,29,16,"Prevents other Pokémon
from lowering its stats."
347,29,17,"Prevents other Pokémon’s moves or Abilities from
lowering the Pokémon’s stats."
348,29,18,"Prevents other Pokémon’s moves or Abilities from
lowering the Pokémon’s stats."
349,30,5,Heals upon switching out.
350,30,6,Heals upon switching out.
351,30,7,Heals upon switching out.
352,30,8,"All status problems are
healed upon switching out."
353,30,9,"All status problems are
healed upon switching out."
354,30,10,"All status problems heal
when it switches out."
355,30,11,"All status problems heal
when it switches out."
356,30,14,"All status problems heal
when it switches out."
357,30,15,"All status conditions heal when
the Pokémon switches out."
358,30,16,"All status conditions heal when
the Pokémon switches out."
359,30,17,"All status conditions heal when the Pokémon
switches out."
360,30,18,"All status conditions heal when the Pokémon
switches out."
361,31,5,Draws electrical moves.
362,31,6,Draws electrical moves.
363,31,7,Draws electrical moves.
364,31,8,"The Pokémon draws in all
Electric-type moves."
365,31,9,"The Pokémon draws in all
Electric-type moves."
366,31,10,"The Pokémon draws in all
Electric-type moves."
367,31,11,"Draws in all Electric-type
moves to up Sp. Attack."
368,31,14,"Draws in all Electric-type
moves to up Sp. Attack."
369,31,15,"Draws in all Electric-type moves
to boost its Sp. Atk stat."
370,31,16,"Draws in all Electric-type moves
to boost its Sp. Atk stat."
371,31,17,"The Pokémon draws in all Electric-type moves. 
Instead of being hit by Electric-type moves, 
it boosts its Sp. Atk."
372,31,18,"The Pokémon draws in all Electric-type moves. 
Instead of being hit by Electric-type moves, 
it boosts its Sp. Atk."
373,32,5,Promotes added effects.
374,32,6,Promotes added effects.
375,32,7,Promotes added effects.
376,32,8,"Boosts the likelihood of
added effects appearing."
377,32,9,"Boosts the likelihood of
added effects appearing."
378,32,10,"Boosts the likelihood of
added effects appearing."
379,32,11,"Boosts the likelihood of
added effects appearing."
380,32,14,"Boosts the likelihood of
added effects appearing."
381,32,15,"Boosts the likelihood of
additional effects occurring."
382,32,16,"Boosts the likelihood of
additional effects occurring."
383,32,17,"Boosts the likelihood of additional effects occurring 
when attacking."
384,32,18,"Boosts the likelihood of additional effects occurring 
when attacking."
385,33,5,Raises SPEED in rain.
386,33,6,Raises SPEED in rain.
387,33,7,Raises SPEED in rain.
388,33,8,"Boosts the Pokémon’s
Speed in rain."
389,33,9,"Boosts the Pokémon’s
Speed in rain."
390,33,10,"Boosts the Pokémon’s
Speed in rain."
391,33,11,"Boosts the Pokémon’s
Speed in rain."
392,33,14,"Boosts the Pokémon’s
Speed in rain."
393,33,15,"Boosts the Pokémon’s
Speed stat in rain."
394,33,16,"Boosts the Pokémon’s
Speed stat in rain."
395,33,17,Boosts the Pokémon’s Speed stat in rain.
396,33,18,Boosts the Pokémon’s Speed stat in rain.
397,34,5,Raises SPEED in sunshine.
398,34,6,Raises SPEED in sunshine.
399,34,7,Raises SPEED in sunshine.
400,34,8,"Boosts the Pokémon’s
Speed in sunshine."
401,34,9,"Boosts the Pokémon’s
Speed in sunshine."
402,34,10,"Boosts the Pokémon’s
Speed in sunshine."
403,34,11,"Boosts the Pokémon’s
Speed in sunshine."
404,34,14,"Boosts the Pokémon’s
Speed in sunshine."
405,34,15,"Boosts the Pokémon’s
Speed stat in sunshine."
406,34,16,"Boosts the Pokémon’s
Speed stat in sunshine."
407,34,17,Boosts the Pokémon’s Speed stat in sunshine.
408,34,18,Boosts the Pokémon’s Speed stat in harsh sunlight.
409,35,5,Encounter rate increases.
410,35,6,Encounter rate increases.
411,35,7,Encounter rate increases.
412,35,8,"Raises the likelihood of
meeting wild Pokémon."
413,35,9,"Raises the likelihood of
meeting wild Pokémon."
414,35,10,"Raises the likelihood of
meeting wild Pokémon."
415,35,11,"Raises the likelihood of
meeting wild Pokémon."
416,35,14,"Raises the likelihood of
meeting wild Pokémon."
417,35,15,"Raises the likelihood of
meeting wild Pokémon."
418,35,16,"Raises the likelihood of
meeting wild Pokémon."
419,35,17,"Raises the likelihood of meeting wild Pokémon by
illuminating the surroundings."
420,35,18,"Raises the likelihood of meeting wild Pokémon by
illuminating the surroundings."
421,36,5,Copies special ability.
422,36,6,Copies special ability.
423,36,7,Copies special ability.
424,36,8,"The Pokémon copies the
foe’s ability."
425,36,9,"The Pokémon copies the
foe’s ability."
426,36,10,"The Pokémon copies the
foe’s ability."
427,36,11,"The Pokémon copies a
foe’s Ability."
428,36,14,"The Pokémon copies a
foe’s Ability."
429,36,15,"The Pokémon copies an
opposing Pokémon’s Ability."
430,36,16,"The Pokémon copies an
opposing Pokémon’s Ability."
431,36,17,"When it enters a battle, the Pokémon copies an
opposing Pokémon’s Ability."
432,36,18,"When it enters a battle, the Pokémon copies an
opposing Pokémon’s Ability."
433,37,5,Raises ATTACK.
434,37,6,Raises ATTACK.
435,37,7,Raises ATTACK.
436,37,8,"Raises the Pokémon’s
Attack stat."
437,37,9,"Raises the Pokémon’s
Attack stat."
438,37,10,"Raises the Pokémon’s
Attack stat."
439,37,11,"Raises the Pokémon’s
Attack stat."
440,37,14,"Raises the Pokémon’s
Attack stat."
441,37,15,"Boosts the Pokémon’s
Attack stat."
442,37,16,"Boosts the Pokémon’s
Attack stat."
443,37,17,Doubles the Pokémon’s Attack stat.
444,37,18,Doubles the Pokémon’s Attack stat.
445,38,5,Poisons foe on contact.
446,38,6,Poisons foe on contact.
447,38,7,Poisons foe on contact.
448,38,8,"Contact with the Pokémon
may poison the foe."
449,38,9,"Contact with the Pokémon
may poison the foe."
450,38,10,"Contact with the Pokémon
may poison the foe."
451,38,11,"Contact with the Pokémon
may poison the attacker."
452,38,14,"Contact with the Pokémon
may poison the attacker."
453,38,15,"Contact with the Pokémon
may poison the attacker."
454,38,16,"Contact with the Pokémon
may poison the attacker."
455,38,17,Contact with the Pokémon may poison the attacker.
456,38,18,Contact with the Pokémon may poison the attacker.
457,39,5,Prevents flinching.
458,39,6,Prevents flinching.
459,39,7,Prevents flinching.
460,39,8,"The Pokémon is protected
from flinching."
461,39,9,"The Pokémon is protected
from flinching."
462,39,10,"The Pokémon is protected
from flinching."
463,39,11,"The Pokémon is protected
from flinching."
464,39,14,"The Pokémon is protected
from flinching."
465,39,15,"Protects the Pokémon
from flinching."
466,39,16,"Protects the Pokémon
from flinching."
467,39,17,"The Pokémon’s intensely focused, and that protects
the Pokémon from flinching."
468,39,18,"The Pokémon’s intensely focused, and that protects
the Pokémon from flinching."
469,40,5,Prevents freezing.
470,40,6,Prevents freezing.
471,40,7,Prevents freezing.
472,40,8,"Prevents the Pokémon
from becoming frozen."
473,40,9,"Prevents the Pokémon
from becoming frozen."
474,40,10,"Prevents the Pokémon
from becoming frozen."
475,40,11,"Prevents the Pokémon
from becoming frozen."
476,40,14,"Prevents the Pokémon
from becoming frozen."
477,40,15,"Prevents the Pokémon
from becoming frozen."
478,40,16,"Prevents the Pokémon
from becoming frozen."
479,40,17,"The Pokémon is covered with hot magma, which
prevents the Pokémon from becoming frozen."
480,40,18,"The Pokémon is covered with hot magma, which
prevents the Pokémon from becoming frozen."
481,41,5,Prevents burns.
482,41,6,Prevents burns.
483,41,7,Prevents burns.
484,41,8,"Prevents the Pokémon
from getting a burn."
485,41,9,"Prevents the Pokémon
from getting a burn."
486,41,10,"Prevents the Pokémon
from getting a burn."
487,41,11,"Prevents the Pokémon
from getting a burn."
488,41,14,"Prevents the Pokémon
from getting a burn."
489,41,15,"Prevents the Pokémon
from getting a burn."
490,41,16,"Prevents the Pokémon
from getting a burn."
491,41,17,"The Pokémon is covered with a water veil, which
prevents the Pokémon from getting a burn."
492,41,18,"The Pokémon is covered with a water veil, which
prevents the Pokémon from getting a burn."
493,42,5,Traps STEEL-type POKéMON.
494,42,6,Traps STEEL-type POKéMON.
495,42,7,Traps STEEL-type POKéMON.
496,42,8,"Prevents Steel-type
Pokémon from escaping."
497,42,9,"Prevents Steel-type
Pokémon from escaping."
498,42,10,"Prevents Steel-type
Pokémon from escaping."
499,42,11,"Prevents Steel-type
Pokémon from escaping."
500,42,14,"Prevents Steel-type
Pokémon from escaping."
501,42,15,"Prevents Steel-type
Pokémon from escaping."
502,42,16,"Prevents Steel-type
Pokémon from escaping."
503,42,17,"Prevents Steel-type Pokémon from escaping using
its magnetic force."
504,42,18,"Prevents Steel-type Pokémon from escaping using
its magnetic force."
505,43,5,Avoids sound-based moves.
506,43,6,Avoids sound-based moves.
507,43,7,Avoids sound-based moves.
508,43,8,"Gives full immunity to all
sound-based moves."
509,43,9,"Gives full immunity to all
sound-based moves."
510,43,10,"Gives full immunity to all
sound-based moves."
511,43,11,"Gives full immunity to all
sound-based moves."
512,43,14,"Gives full immunity to all
sound-based moves."
513,43,15,"Gives full immunity to all
sound-based moves."
514,43,16,"Gives full immunity to all
sound-based moves."
515,43,17,"Soundproofing of the Pokémon itself gives full 
immunity to all sound-based moves."
516,43,18,"Soundproofing of the Pokémon itself gives full 
immunity to all sound-based moves."
517,44,5,Slight HP recovery in rain.
518,44,6,Slight HP recovery in rain.
519,44,7,Slight HP recovery in rain.
520,44,8,"The Pokémon gradually
recovers HP in rain."
521,44,9,"The Pokémon gradually
recovers HP in rain."
522,44,10,"The Pokémon gradually
recovers HP in rain."
523,44,11,"The Pokémon gradually
regains HP in rain."
524,44,14,"The Pokémon gradually
regains HP in rain."
525,44,15,"The Pokémon gradually
regains HP in rain."
526,44,16,"The Pokémon gradually
regains HP in rain."
527,44,17,The Pokémon gradually regains HP in rain.
528,44,18,The Pokémon gradually regains HP in rain.
529,45,5,Summons a sandstorm.
530,45,6,Summons a sandstorm.
531,45,7,Summons a sandstorm.
532,45,8,"The Pokémon summons a
sandstorm in battle."
533,45,9,"The Pokémon summons a
sandstorm in battle."
534,45,10,"The Pokémon summons a
sandstorm in battle."
535,45,11,"The Pokémon summons a
sandstorm in battle."
536,45,14,"The Pokémon summons a
sandstorm in battle."
537,45,15,"The Pokémon summons a
sandstorm in battle."
538,45,16,"The Pokémon summons a
sandstorm in battle."
539,45,17,"The Pokémon summons a sandstorm when it enters
a battle."
540,45,18,"The Pokémon summons a sandstorm when it enters
a battle."
541,46,5,Raises foe’s PP usage.
542,46,6,Raises foe’s PP usage.
543,46,7,Raises foe’s PP usage.
544,46,8,"The Pokémon raises the
foe’s PP usage."
545,46,9,"The Pokémon raises the
foe’s PP usage."
546,46,10,"The Pokémon raises the
foe’s PP usage."
547,46,11,"The Pokémon raises the
foe’s PP usage."
548,46,14,"The Pokémon raises the
foe’s PP usage."
549,46,15,"The Pokémon raises opposing
Pokémon’s PP usage."
550,46,16,"The Pokémon raises opposing
Pokémon’s PP usage."
551,46,17,"By putting pressure on the opposing Pokémon, it
raises their PP usage."
