id,pokemon_id,stat_id,base_stat,effort,order
308,52,2,45,0,2
309,52,3,35,0,3
310,52,4,40,0,5
311,52,5,40,0,6
312,52,6,90,1,4
313,53,1,65,0,1
314,53,2,70,0,2
315,53,3,60,0,3
316,53,4,65,0,5
317,53,5,65,0,6
318,53,6,115,2,4
319,54,1,50,0,1
320,54,2,52,0,2
321,54,3,48,0,3
322,54,4,65,1,5
323,54,5,50,0,6
324,54,6,55,0,4
325,55,1,80,0,1
326,55,2,82,0,2
327,55,3,78,0,3
328,55,4,95,2,5
329,55,5,80,0,6
330,55,6,85,0,4
331,56,1,40,0,1
332,56,2,80,1,2
333,56,3,35,0,3
334,56,4,35,0,5
335,56,5,45,0,6
336,56,6,70,0,4
337,57,1,65,0,1
338,57,2,105,2,2
339,57,3,60,0,3
340,57,4,60,0,5
341,57,5,70,0,6
342,57,6,95,0,4
343,58,1,55,0,1
344,58,2,70,1,2
345,58,3,45,0,3
346,58,4,70,0,5
347,58,5,50,0,6
348,58,6,60,0,4
349,59,1,90,0,1
350,59,2,110,2,2
351,59,3,80,0,3
352,59,4,100,0,5
353,59,5,80,0,6
354,59,6,95,0,4
355,60,1,40,0,1
356,60,2,50,0,2
357,60,3,40,0,3
358,60,4,40,0,5
359,60,5,40,0,6
360,60,6,90,1,4
361,61,1,65,0,1
362,61,2,65,0,2
363,61,3,65,0,3
364,61,4,50,0,5
365,61,5,50,0,6
366,61,6,90,2,4
367,62,1,90,0,1
368,62,2,95,0,2
369,62,3,95,3,3
370,62,4,70,0,5
371,62,5,90,0,6
372,62,6,70,0,4
373,63,1,25,0,1
374,63,2,20,0,2
375,63,3,15,0,3
376,63,4,105,1,5
377,63,5,55,0,6
378,63,6,90,0,4
379,64,1,40,0,1
380,64,2,35,0,2
381,64,3,30,0,3
382,64,4,120,2,5
383,64,5,70,0,6
384,64,6,105,0,4
385,65,1,55,0,1
386,65,2,50,0,2
387,65,3,45,0,3
388,65,4,135,3,5
389,65,5,95,0,6
390,65,6,120,0,4
391,66,1,70,0,1
392,66,2,80,1,2
393,66,3,50,0,3
394,66,4,35,0,5
395,66,5,35,0,6
396,66,6,35,0,4
397,67,1,80,0,1
398,67,2,100,2,2
399,67,3,70,0,3
400,67,4,50,0,5
401,67,5,60,0,6
402,67,6,45,0,4
403,68,1,90,0,1
404,68,2,130,3,2
405,68,3,80,0,3
406,68,4,65,0,5
407,68,5,85,0,6
408,68,6,55,0,4
409,69,1,50,0,1
410,69,2,75,1,2
411,69,3,35,0,3
412,69,4,70,0,5
413,69,5,30,0,6
414,69,6,40,0,4
415,70,1,65,0,1
416,70,2,90,2,2
417,70,3,50,0,3
418,70,4,85,0,5
419,70,5,45,0,6
420,70,6,55,0,4
421,71,1,80,0,1
422,71,2,105,3,2
423,71,3,65,0,3
424,71,4,100,0,5
425,71,5,70,0,6
426,71,6,70,0,4
427,72,1,40,0,1
428,72,2,40,0,2
429,72,3,35,0,3
430,72,4,50,0,5
431,72,5,100,1,6
432,72,6,70,0,4
433,73,1,80,0,1
434,73,2,70,0,2
435,73,3,65,0,3
436,73,4,80,0,5
437,73,5,120,2,6
438,73,6,100,0,4
439,74,1,40,0,1
440,74,2,80,0,2
441,74,3,100,1,3
442,74,4,30,0,5
443,74,5,30,0,6
444,74,6,20,0,4
445,75,1,55,0,1
446,75,2,95,0,2
447,75,3,115,2,3
448,75,4,45,0,5
449,75,5,45,0,6
450,75,6,35,0,4
451,76,1,80,0,1
452,76,2,120,0,2
453,76,3,130,3,3
454,76,4,55,0,5
455,76,5,65,0,6
456,76,6,45,0,4
457,77,1,50,0,1
458,77,2,85,0,2
459,77,3,55,0,3
460,77,4,65,0,5
461,77,5,65,0,6
462,77,6,90,1,4
463,78,1,65,0,1
464,78,2,100,0,2
465,78,3,70,0,3
466,78,4,80,0,5
467,78,5,80,0,6
468,78,6,105,2,4
469,79,1,90,1,1
470,79,2,65,0,2
471,79,3,65,0,3
472,79,4,40,0,5
473,79,5,40,0,6
474,79,6,15,0,4
475,80,1,95,0,1
476,80,2,75,0,2
477,80,3,110,2,3
478,80,4,100,0,5
479,80,5,80,0,6
480,80,6,30,0,4
481,81,1,25,0,1
482,81,2,35,0,2
483,81,3,70,0,3
484,81,4,95,1,5
485,81,5,55,0,6
486,81,6,45,0,4
487,82,1,50,0,1
488,82,2,60,0,2
489,82,3,95,0,3
490,82,4,120,2,5
491,82,5,70,0,6
492,82,6,70,0,4
493,83,1,52,0,1
494,83,2,90,1,2
495,83,3,55,0,3
496,83,4,58,0,5
497,83,5,62,0,6
498,83,6,60,0,4
499,84,1,35,0,1
500,84,2,85,1,2
501,84,3,45,0,3
502,84,4,35,0,5
503,84,5,35,0,6
504,84,6,75,0,4
505,85,1,60,0,1
506,85,2,110,2,2
507,85,3,70,0,3
508,85,4,60,0,5
509,85,5,60,0,6
510,85,6,110,0,4
511,86,1,65,0,1
512,86,2,45,0,2
513,86,3,55,0,3
514,86,4,45,0,5
515,86,5,70,1,6
516,86,6,45,0,4
517,87,1,90,0,1
518,87,2,70,0,2
519,87,3,80,0,3
520,87,4,70,0,5
521,87,5,95,2,6
522,87,6,70,0,4
523,88,1,80,1,1
524,88,2,80,0,2
525,88,3,50,0,3
526,88,4,40,0,5
527,88,5,50,0,6
528,88,6,25,0,4
529,89,1,105,1,1
530,89,2,105,1,2
531,89,3,75,0,3
532,89,4,65,0,5
533,89,5,100,0,6
534,89,6,50,0,4
535,90,1,30,0,1
536,90,2,65,0,2
537,90,3,100,1,3
538,90,4,45,0,5
539,90,5,25,0,6
540,90,6,40,0,4
541,91,1,50,0,1
542,91,2,95,0,2
543,91,3,180,2,3
544,91,4,85,0,5
545,91,5,45,0,6
546,91,6,70,0,4
547,92,1,30,0,1
548,92,2,35,0,2
549,92,3,30,0,3
550,92,4,100,1,5
551,92,5,35,0,6
552,92,6,80,0,4
553,93,1,45,0,1
554,93,2,50,0,2
555,93,3,45,0,3
556,93,4,115,2,5
557,93,5,55,0,6
558,93,6,95,0,4
559,94,1,60,0,1
560,94,2,65,0,2
561,94,3,60,0,3
562,94,4,130,3,5
563,94,5,75,0,6
564,94,6,110,0,4
565,95,1,35,0,1
566,95,2,45,0,2
567,95,3,160,1,3
568,95,4,30,0,5
569,95,5,45,0,6
570,95,6,70,0,4
571,96,1,60,0,1
572,96,2,48,0,2
573,96,3,45,0,3
574,96,4,43,0,5
575,96,5,90,1,6
576,96,6,42,0,4
577,97,1,85,0,1
578,97,2,73,0,2
579,97,3,70,0,3
580,97,4,73,0,5
581,97,5,115,2,6
582,97,6,67,0,4
583,98,1,30,0,1
584,98,2,105,1,2
585,98,3,90,0,3
586,98,4,25,0,5
587,98,5,25,0,6
588,98,6,50,0,4
589,99,1,55,0,1
590,99,2,130,2,2
591,99,3,115,0,3
592,99,4,50,0,5
593,99,5,50,0,6
594,99,6,75,0,4
595,100,1,40,0,1
596,100,2,30,0,2
597,100,3,50,0,3
598,100,4,55,0,5
599,100,5,55,0,6
600,100,6,100,1,4
601,101,1,60,0,1
602,101,2,50,0,2
603,101,3,70,0,3
604,101,4,80,0,5
605,101,5,80,0,6
606,101,6,150,2,4
607,102,1,60,0,1
608,102,2,40,0,2
609,102,3,80,1,3
610,102,4,60,0,5
611,102,5,45,0,6
612,102,6,40,0,4
613,103,1,95,0,1
614,103,2,95,0,2
615,103,3,85,0,3
616,103,4,125,2,5
617,103,5,75,0,6
618,103,6,55,0,4
619,104,1,50,0,1
620,104,2,50,0,2
621,104,3,95,1,3
622,104,4,40,0,5
623,104,5,50,0,6
624,104,6,35,0,4
625,105,1,60,0,1
626,105,2,80,0,2
627,105,3,110,2,3
628,105,4,50,0,5
629,105,5,80,0,6
630,105,6,45,0,4
631,106,1,50,0,1
632,106,2,120,2,2
633,106,3,53,0,3
634,106,4,35,0,5
635,106,5,110,0,6
636,106,6,87,0,4
637,107,1,50,0,1
638,107,2,105,0,2
639,107,3,79,0,3
640,107,4,35,0,5
641,107,5,110,2,6
642,107,6,76,0,4
643,108,1,90,2,1
644,108,2,55,0,2
645,108,3,75,0,3
646,108,4,60,0,5
647,108,5,75,0,6
648,108,6,30,0,4
649,109,1,40,0,1
650,109,2,65,0,2
651,109,3,95,1,3
652,109,4,60,0,5
653,109,5,45,0,6
654,109,6,35,0,4
655,110,1,65,0,1
656,110,2,90,0,2
657,110,3,120,2,3
658,110,4,85,0,5
659,110,5,70,0,6
660,110,6,60,0,4
661,111,1,80,0,1
662,111,2,85,0,2
663,111,3,95,1,3
664,111,4,30,0,5
665,111,5,30,0,6
666,111,6,25,0,4
667,112,1,105,0,1
668,112,2,130,2,2
669,112,3,120,0,3
670,112,4,45,0,5
671,112,5,45,0,6
672,112,6,40,0,4
673,113,1,250,2,1
674,113,2,5,0,2
675,113,3,5,0,3
676,113,4,35,0,5
677,113,5,105,0,6
678,113,6,50,0,4
679,114,1,65,0,1
680,114,2,55,0,2
681,114,3,115,1,3
682,114,4,100,0,5
683,114,5,40,0,6
684,114,6,60,0,4
685,115,1,105,2,1
686,115,2,95,0,2
687,115,3,80,0,3
688,115,4,40,0,5
689,115,5,80,0,6
690,115,6,90,0,4
691,116,1,30,0,1
692,116,2,40,0,2
693,116,3,70,0,3
694,116,4,70,1,5
695,116,5,25,0,6
696,116,6,60,0,4
697,117,1,55,0,1
698,117,2,65,0,2
699,117,3,95,1,3
700,117,4,95,1,5
701,117,5,45,0,6
702,117,6,85,0,4
703,118,1,45,0,1
704,118,2,67,1,2
705,118,3,60,0,3
706,118,4,35,0,5
707,118,5,50,0,6
708,118,6,63,0,4
709,119,1,80,0,1
710,119,2,92,2,2
711,119,3,65,0,3
712,119,4,65,0,5
713,119,5,80,0,6
714,119,6,68,0,4
715,120,1,30,0,1
716,120,2,45,0,2
717,120,3,55,0,3
718,120,4,70,0,5
719,120,5,55,0,6
720,120,6,85,1,4
721,121,1,60,0,1
722,121,2,75,0,2
723,121,3,85,0,3
724,121,4,100,0,5
725,121,5,85,0,6
726,121,6,115,2,4
727,122,1,40,0,1
728,122,2,45,0,2
729,122,3,65,0,3
730,122,4,100,0,5
731,122,5,120,2,6
732,122,6,90,0,4
733,123,1,70,0,1
734,123,2,110,1,2
735,123,3,80,0,3
736,123,4,55,0,5
737,123,5,80,0,6
738,123,6,105,0,4
739,124,1,65,0,1
740,124,2,50,0,2
741,124,3,35,0,3
742,124,4,115,2,5
743,124,5,95,0,6
744,124,6,95,0,4
745,125,1,65,0,1
746,125,2,83,0,2
747,125,3,57,0,3
748,125,4,95,0,5
749,125,5,85,0,6
750,125,6,105,2,4
751,126,1,65,0,1
752,126,2,95,0,2
753,126,3,57,0,3
754,126,4,100,2,5
755,126,5,85,0,6
756,126,6,93,0,4
757,127,1,65,0,1
758,127,2,125,2,2
759,127,3,100,0,3
760,127,4,55,0,5
761,127,5,70,0,6
762,127,6,85,0,4
763,128,1,75,0,1
764,128,2,100,1,2
765,128,3,95,0,3
766,128,4,40,0,5
767,128,5,70,0,6
768,128,6,110,1,4
769,129,1,20,0,1
770,129,2,10,0,2
771,129,3,55,0,3
772,129,4,15,0,5
773,129,5,20,0,6
774,129,6,80,1,4
775,130,1,95,0,1
776,130,2,125,2,2
777,130,3,79,0,3
778,130,4,60,0,5
779,130,5,100,0,6
780,130,6,81,0,4
781,131,1,130,2,1
782,131,2,85,0,2
783,131,3,80,0,3
784,131,4,85,0,5
785,131,5,95,0,6
786,131,6,60,0,4
787,132,1,48,1,1
788,132,2,48,0,2
789,132,3,48,0,3
790,132,4,48,0,5
791,132,5,48,0,6
792,132,6,48,0,4
793,133,1,55,0,1
794,133,2,55,0,2
795,133,3,50,0,3
796,133,4,45,0,5
797,133,5,65,1,6
798,133,6,55,0,4
799,134,1,130,2,1
800,134,2,65,0,2
801,134,3,60,0,3
802,134,4,110,0,5
803,134,5,95,0,6
804,134,6,65,0,4
805,135,1,65,0,1
806,135,2,65,0,2
807,135,3,60,0,3
808,135,4,110,0,5
809,135,5,95,0,6
810,135,6,130,2,4
811,136,1,65,0,1
812,136,2,130,2,2
813,136,3,60,0,3
814,136,4,95,0,5
815,136,5,110,0,6
816,136,6,65,0,4
817,137,1,65,0,1
818,137,2,60,0,2
819,137,3,70,0,3
820,137,4,85,1,5
821,137,5,75,0,6
822,137,6,40,0,4
823,138,1,35,0,1
824,138,2,40,0,2
825,138,3,100,1,3
826,138,4,90,0,5
827,138,5,55,0,6
828,138,6,35,0,4
829,139,1,70,0,1
830,139,2,60,0,2
831,139,3,125,2,3
832,139,4,115,0,5
833,139,5,70,0,6
834,139,6,55,0,4
835,140,1,30,0,1
836,140,2,80,0,2
837,140,3,90,1,3
838,140,4,55,0,5
839,140,5,45,0,6
840,140,6,55,0,4
841,141,1,60,0,1
842,141,2,115,2,2
843,141,3,105,0,3
844,141,4,65,0,5
845,141,5,70,0,6
846,141,6,80,0,4
847,142,1,80,0,1
848,142,2,105,0,2
849,142,3,65,0,3
850,142,4,60,0,5
851,142,5,75,0,6
852,142,6,130,2,4
853,143,1,160,2,1
854,143,2,110,0,2
855,143,3,65,0,3
856,143,4,65,0,5
857,143,5,110,0,6
858,143,6,30,0,4
859,144,1,90,0,1
860,144,2,85,0,2
861,144,3,100,0,3
862,144,4,95,0,5
863,144,5,125,3,6
864,144,6,85,0,4
865,145,1,90,0,1
866,145,2,90,0,2
867,145,3,85,0,3
868,145,4,125,3,5
869,145,5,90,0,6
870,145,6,100,0,4
871,146,1,90,0,1
872,146,2,100,0,2
873,146,3,90,0,3
874,146,4,125,3,5
875,146,5,85,0,6
876,146,6,90,0,4
877,147,1,41,0,1
878,147,2,64,1,2
879,147,3,45,0,3
880,147,4,50,0,5
881,147,5,50,0,6
882,147,6,50,0,4
883,148,1,61,0,1
884,148,2,84,2,2
885,148,3,65,0,3
886,148,4,70,0,5
887,148,5,70,0,6
888,148,6,70,0,4
889,149,1,91,0,1
890,149,2,134,3,2
891,149,3,95,0,3
892,149,4,100,0,5
893,149,5,100,0,6
894,149,6,80,0,4
895,150,1,106,0,1
896,150,2,110,0,2
897,150,3,90,0,3
898,150,4,154,3,5
899,150,5,90,0,6
900,150,6,130,0,4
901,151,1,100,3,1
902,151,2,100,0,2
903,151,3,100,0,3
904,151,4,100,0,5
905,151,5,100,0,6
906,151,6,100,0,4
907,152,1,45,0,1
908,152,2,49,0,2
909,152,3,65,0,3
910,152,4,49,0,5
911,152,5,65,1,6
912,152,6,45,0,4
913,153,1,60,0,1
914,153,2,62,0,2
915,153,3,80,1,3
916,153,4,63,0,5
917,153,5,80,1,6
918,153,6,60,0,4
919,154,1,80,0,1
920,154,2,82,0,2
921,154,3,100,1,3
922,154,4,83,0,5
923,154,5,100,2,6
924,154,6,80,0,4
925,155,1,39,0,1
926,155,2,52,0,2
927,155,3,43,0,3
928,155,4,60,0,5
929,155,5,50,0,6
930,155,6,65,1,4
931,156,1,58,0,1
932,156,2,64,0,2
933,156,3,58,0,3
934,156,4,80,1,5
935,156,5,65,0,6
936,156,6,80,1,4
937,157,1,78,0,1
938,157,2,84,0,2
939,157,3,78,0,3
940,157,4,109,3,5
941,157,5,85,0,6
942,157,6,100,0,4
943,158,1,50,0,1
944,158,2,65,1,2
945,158,3,64,0,3
946,158,4,44,0,5
947,158,5,48,0,6
948,158,6,43,0,4
949,159,1,65,0,1
950,159,2,80,1,2
951,159,3,80,1,3
952,159,4,59,0,5
953,159,5,63,0,6
954,159,6,58,0,4
955,160,1,85,0,1
956,160,2,105,2,2
957,160,3,100,1,3
958,160,4,79,0,5
959,160,5,83,0,6
960,160,6,78,0,4
961,161,1,35,0,1
962,161,2,46,1,2
963,161,3,34,0,3
964,161,4,35,0,5
965,161,5,45,0,6
966,161,6,20,0,4
967,162,1,85,0,1
968,162,2,76,0,2
969,162,3,64,0,3
970,162,4,45,0,5
971,162,5,55,0,6
972,162,6,90,2,4
973,163,1,60,1,1
974,163,2,30,0,2
975,163,3,30,0,3
976,163,4,36,0,5
977,163,5,56,0,6
978,163,6,50,0,4
979,164,1,100,2,1
980,164,2,50,0,2
981,164,3,50,0,3
982,164,4,86,0,5
983,164,5,96,0,6
984,164,6,70,0,4
985,165,1,40,0,1
986,165,2,20,0,2
987,165,3,30,0,3
988,165,4,40,0,5
989,165,5,80,1,6
990,165,6,55,0,4
991,166,1,55,0,1
992,166,2,35,0,2
993,166,3,50,0,3
994,166,4,55,0,5
995,166,5,110,2,6
996,166,6,85,0,4
997,167,1,40,0,1
998,167,2,60,1,2
999,167,3,40,0,3
1000,167,4,40,0,5
1001,167,5,40,0,6
1002,167,6,30,0,4
1003,168,1,70,0,1
1004,168,2,90,2,2
1005,168,3,70,0,3
1006,168,4,60,0,5
1007,168,5,70,0,6
1008,168,6,40,0,4
1009,169,1,85,0,1
1010,169,2,90,0,2
1011,169,3,80,0,3
1012,169,4,70,0,5
1013,169,5,80,0,6
1014,169,6,130,3,4
1015,170,1,75,1,1
1016,170,2,38,0,2
1017,170,3,38,0,3
1018,170,4,56,0,5
1019,170,5,56,0,6
1020,170,6,67,0,4
1021,171,1,125,2,1
1022,171,2,58,0,2
1023,171,3,58,0,3
1024,171,4,76,0,5
1025,171,5,76,0,6
1026,171,6,67,0,4
1027,172,1,20,0,1
1028,172,2,40,0,2
1029,172,3,15,0,3
1030,172,4,35,0,5
1031,172,5,35,0,6
1032,172,6,60,1,4
1033,173,1,50,0,1
1034,173,2,25,0,2
1035,173,3,28,0,3
1036,173,4,45,0,5
1037,173,5,55,1,6
1038,173,6,15,0,4
1039,174,1,90,1,1
1040,174,2,30,0,2
1041,174,3,15,0,3
1042,174,4,40,0,5
1043,174,5,20,0,6
1044,174,6,15,0,4
1045,175,1,35,0,1
1046,175,2,20,0,2
1047,175,3,65,0,3
1048,175,4,40,0,5
1049,175,5,65,1,6
1050,175,6,20,0,4
1051,176,1,55,0,1
1052,176,2,40,0,2
1053,176,3,85,0,3
1054,176,4,80,0,5
1055,176,5,105,2,6
1056,176,6,40,0,4
1057,177,1,40,0,1
1058,177,2,50,0,2
1059,177,3,45,0,3
1060,177,4,70,1,5
1061,177,5,45,0,6
1062,177,6,70,0,4
1063,178,1,65,0,1
1064,178,2,75,0,2
1065,178,3,70,0,3
1066,178,4,95,1,5
1067,178,5,70,0,6
1068,178,6,95,1,4
1069,179,1,55,0,1
1070,179,2,40,0,2
1071,179,3,40,0,3
1072,179,4,65,1,5
1073,179,5,45,0,6
1074,179,6,35,0,4
1075,180,1,70,0,1
1076,180,2,55,0,2
1077,180,3,55,0,3
1078,180,4,80,2,5
1079,180,5,60,0,6
1080,180,6,45,0,4
1081,181,1,90,0,1
1082,181,2,75,0,2
1083,181,3,85,0,3
1084,181,4,115,3,5
1085,181,5,90,0,6
1086,181,6,55,0,4
1087,182,1,75,0,1
1088,182,2,80,0,2
1089,182,3,95,0,3
1090,182,4,90,0,5
1091,182,5,100,3,6
1092,182,6,50,0,4
1093,183,1,70,2,1
1094,183,2,20,0,2
1095,183,3,50,0,3
1096,183,4,20,0,5
1097,183,5,50,0,6
1098,183,6,40,0,4
1099,184,1,100,3,1
1100,184,2,50,0,2
1101,184,3,80,0,3
1102,184,4,60,0,5
1103,184,5,80,0,6
1104,184,6,50,0,4
1105,185,1,70,0,1
1106,185,2,100,0,2
1107,185,3,115,2,3
1108,185,4,30,0,5
1109,185,5,65,0,6
1110,185,6,30,0,4
1111,186,1,90,0,1
1112,186,2,75,0,2
1113,186,3,75,0,3
1114,186,4,90,0,5
1115,186,5,100,3,6
1116,186,6,70,0,4
1117,187,1,35,0,1
1118,187,2,35,0,2
1119,187,3,40,0,3
1120,187,4,35,0,5
1121,187,5,55,1,6
1122,187,6,50,0,4
1123,188,1,55,0,1
1124,188,2,45,0,2
1125,188,3,50,0,3
1126,188,4,45,0,5
1127,188,5,65,0,6
1128,188,6,80,2,4
1129,189,1,75,0,1
1130,189,2,55,0,2
1131,189,3,70,0,3
1132,189,4,55,0,5
1133,189,5,95,0,6
1134,189,6,110,3,4
1135,190,1,55,0,1
1136,190,2,70,0,2
1137,190,3,55,0,3
1138,190,4,40,0,5
1139,190,5,55,0,6
1140,190,6,85,1,4
1141,191,1,30,0,1
1142,191,2,30,0,2
1143,191,3,30,0,3
1144,191,4,30,1,5
1145,191,5,30,0,6
1146,191,6,30,0,4
1147,192,1,75,0,1
1148,192,2,75,0,2
1149,192,3,55,0,3
1150,192,4,105,2,5
