id,move_id,version_group_id,flavor_text
82,6,16,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
83,6,17,"Numerous coins are hurled at the target to inflict
damage. Money is earned after the battle."
84,6,18,"Numerous coins are hurled at the target to inflict
damage. Money is earned after the battle."
85,7,3,"A fiery punch. May
cause a burn."
86,7,4,"A fiery punch. May
cause a burn."
87,7,5,"A fiery punch that may burn
the foe."
88,7,6,"A fiery punch that may burn
the foe."
89,7,7,"The foe is punched
with a fiery fist.
It may leave the
foe with a burn."
90,7,8,"The foe is punched
with a fiery fist.
It may leave the
target with a burn.
"
91,7,9,"The foe is punched
with a fiery fist.
It may leave the
target with a burn.
"
92,7,10,"The foe is punched
with a fiery fist.
It may leave the
target with a burn.
"
93,7,11,"The target is punched with a fiery fist.
It may also leave the target with a burn."
94,7,14,"The target is punched with a fiery fist.
It may also leave the target with a burn."
95,7,15,"The target is punched with a fiery fist.
This may also leave the target with a burn."
96,7,16,"The target is punched with a fiery fist.
This may also leave the target with a burn."
97,7,17,"The target is punched with a fiery fist. This may also
leave the target with a burn."
98,7,18,"The target is punched with a fiery fist. This may also
leave the target with a burn."
99,8,3,"An icy punch. May
cause freezing."
100,8,4,"An icy punch. May
cause freezing."
101,8,5,"An icy punch that may
freeze the foe."
102,8,6,"An icy punch that may
freeze the foe."
103,8,7,"The foe is punched
with an icy fist.
It may leave the
foe frozen."
104,8,8,"The foe is punched
with an icy fist.
It may leave the
target frozen.
"
105,8,9,"The foe is punched
with an icy fist.
It may leave the
target frozen.
"
106,8,10,"The foe is punched
with an icy fist.
It may leave the
target frozen.
"
107,8,11,"The target is punched with an icy fist.
It may also leave the target frozen."
108,8,14,"The target is punched with an icy fist.
It may also leave the target frozen."
109,8,15,"The target is punched with an icy fist.
This may also leave the target frozen."
110,8,16,"The target is punched with an icy fist.
This may also leave the target frozen."
111,8,17,"The target is punched with an icy fist. This may also
leave the target frozen."
112,8,18,"The target is punched with an icy fist. This may also
leave the target frozen."
113,9,3,"An electric punch.
It may paralyze."
114,9,4,"An electric punch.
It may paralyze."
115,9,5,"An electrified punch that
may paralyze the foe."
116,9,6,"An electrified punch that
may paralyze the foe."
117,9,7,"The foe is punched
with an electrified
fist. It may leave
the foe paralyzed."
118,9,8,"The foe is punched
with an electrified
fist. It may leave
the target with
paralysis."
119,9,9,"The foe is punched
with an electrified
fist. It may leave
the target with
paralysis."
120,9,10,"The foe is punched
with an electrified
fist. It may leave
the target with
paralysis."
121,9,11,"The target is punched with an electrified
fist. It may also leave the target
with paralysis."
122,9,14,"The target is punched with an electrified
fist. It may also leave the target
with paralysis."
123,9,15,"The target is punched with an electrified
fist. This may also leave the target
with paralysis."
124,9,16,"The target is punched with an electrified
fist. This may also leave the target
with paralysis."
125,9,17,"The target is punched with an electrified fist.
This may also leave the target with paralysis."
126,9,18,"The target is punched with an electrified fist.
This may also leave the target with paralysis."
127,10,3,"Scratches with
sharp claws."
128,10,4,"Scratches with
sharp claws."
129,10,5,"Scratches the foe with
sharp claws."
130,10,6,"Scratches the foe with
sharp claws."
131,10,7,"Hard, pointed, and
sharp claws rake
the foe."
132,10,8,"Hard, pointed, and
sharp claws rake the
foe to inflict damage.

"
133,10,9,"Hard, pointed, and
sharp claws rake the
foe to inflict damage.

"
134,10,10,"Hard, pointed, and
sharp claws rake the
foe to inflict damage.

"
135,10,11,"Hard, pointed, and sharp claws rake
the target to inflict damage."
136,10,14,"Hard, pointed, and sharp claws rake
the target to inflict damage."
137,10,15,"Hard, pointed, sharp claws rake
the target to inflict damage."
138,10,16,"Hard, pointed, sharp claws rake
the target to inflict damage."
139,10,17,"Hard, pointed, sharp claws rake the target to
inflict damage."
140,10,18,"Hard, pointed, sharp claws rake the target to
inflict damage."
141,11,3,"Grips with power­
ful pincers."
142,11,4,"Grips with power­
ful pincers."
143,11,5,"Grips the foe with large and
powerful pincers."
144,11,6,"Grips the foe with large and
powerful pincers."
145,11,7,"Huge, impressive
pincers grip and
squeeze the foe."
146,11,8,"Huge, impressive
pincers grip and
squeeze the foe.

"
147,11,9,"Huge, impressive
pincers grip and
squeeze the foe.

"
148,11,10,"Huge, impressive
pincers grip and
squeeze the foe.

"
149,11,11,"The target is gripped and squeezed from
both sides to inflict damage."
150,11,14,"The target is gripped and squeezed from
both sides to inflict damage."
151,11,15,"The target is gripped and squeezed from
both sides to inflict damage."
152,11,16,"The target is gripped and squeezed from
both sides to inflict damage."
153,11,17,"The target is gripped and squeezed from both sides
to inflict damage."
154,11,18,"The target is gripped and squeezed from both sides
to inflict damage."
155,12,3,"A one-hit KO,
pincer attack."
156,12,4,"A one-hit KO,
pincer attack."
157,12,5,"A powerful pincer attack
that may cause fainting."
158,12,6,"A powerful pincer attack
that may cause fainting."
159,12,7,"A vicious tearing
attack with pincers.
The foe will faint
if it hits."
160,12,8,"A vicious, tearing
attack with pincers.
The foe will faint
instantly if this
attack hits."
161,12,9,"A vicious, tearing
attack with pincers.
The foe will faint
instantly if this
attack hits."
162,12,10,"A vicious, tearing
attack with pincers.
The foe will faint
instantly if this
attack hits."
163,12,11,"A vicious, tearing attack with big pincers.
The target will faint instantly
if this attack hits."
164,12,14,"A vicious, tearing attack with big pincers.
The target will faint instantly
if this attack hits."
165,12,15,"A vicious, tearing attack with big pincers.
The target faints instantly if this attack hits."
166,12,16,"A vicious, tearing attack with big pincers.
The target faints instantly if this attack hits."
167,12,17,"A vicious, tearing attack with big pincers. The target
faints instantly if this attack hits."
168,12,18,"A vicious, tearing attack with big pincers. The target
faints instantly if this attack hits."
169,13,3,"1st turn: Prepare
2nd turn: Attack"
170,13,4,"1st turn: Prepare
2nd turn: Attack"
171,13,5,"A 2-turn move that strikes
the foe on the 2nd turn."
172,13,6,"A 2-turn move that strikes
the foe on the 2nd turn."
173,13,7,"Blades of wind hit
the foe on the 2nd
turn. It has a high
critical-hit ratio."
174,13,8,"A two-turn attack.
Blades of wind hit the
foe on the second
turn. It has a high
critical-hit ratio."
175,13,9,"A two-turn attack.
Blades of wind hit the
foe on the second
turn. It has a high
critical-hit ratio."
176,13,10,"A two-turn attack.
Blades of wind hit the
foe on the second
turn. It has a high
critical-hit ratio."
177,13,11,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
178,13,14,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
179,13,15,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
180,13,16,"A two-turn attack. Blades of wind hit
opposing Pokémon on the second turn.
Critical hits land more easily."
181,13,17,"In this two-turn attack, blades of wind hit opposing
Pokémon on the second turn. Critical hits land
more easily."
182,13,18,"In this two-turn attack, blades of wind hit opposing
Pokémon on the second turn. Critical hits land
more easily."
183,14,3,"A dance that in­
creases ATTACK."
184,14,4,"A dance that in­
creases ATTACK."
185,14,5,"A fighting dance that
sharply raises ATTACK."
186,14,6,"A fighting dance that
sharply raises ATTACK."
187,14,7,"A frenetic dance of
fighting. It sharply
raises the ATTACK
stat."
188,14,8,"A frenetic dance to
uplift the fighting
spirit. It sharply
raises the user’s
Attack stat."
189,14,9,"A frenetic dance to
uplift the fighting
spirit. It sharply
raises the user’s
Attack stat."
190,14,10,"A frenetic dance to
uplift the fighting
spirit. It sharply
raises the user’s
Attack stat."
191,14,11,"A frenetic dance to uplift the fighting
spirit. It sharply raises the user’s
Attack stat."
192,14,14,"A frenetic dance to uplift the fighting
spirit. It sharply raises the user’s
Attack stat."
193,14,15,"A frenetic dance to uplift the fighting
spirit. This sharply raises the user’s
Attack stat."
194,14,16,"A frenetic dance to uplift the fighting
spirit. This sharply raises the user’s
Attack stat."
195,14,17,"A frenetic dance to uplift the fighting spirit.
This sharply raises the user’s Attack stat."
196,14,18,"A frenetic dance to uplift the fighting spirit.
This sharply raises the user’s Attack stat."
197,15,3,"Cuts using claws,
scythes, etc."
198,15,4,"Cuts using claws,
scythes, etc."
199,15,5,"Cuts the foe with sharp
scythes, claws, etc."
200,15,6,"Cuts the foe with sharp
scythes, claws, etc."
201,15,7,"A basic attack.
It can be used to
cut down thin trees
and grass."
202,15,8,"The foe is cut with a
scythe or a claw.
It can also be used
to cut down thin
trees."
203,15,9,"The foe is cut with a
scythe or a claw.
It can also be used
to cut down thin
trees."
204,15,10,"The foe is cut with a
scythe or a claw.
It can also be used
to cut down thin
trees."
205,15,11,"The target is cut with a scythe or a claw.
It can also be used to cut down
thin trees."
206,15,14,"The target is cut with a scythe or a claw.
It can also be used to cut down
thin trees."
207,15,15,"The target is cut with a scythe or claw.
This can also be used to cut down thin trees."
208,15,16,"The target is cut with a scythe or claw.
This can also be used to cut down thin trees."
209,15,17,The target is cut with a scythe or claw.
210,15,18,The target is cut with a scythe or claw.
211,16,3,"Whips up a strong
gust of wind."
212,16,4,"Whips up a strong
gust of wind."
213,16,5,"Strikes the foe with a gust
of wind whipped up by wings."
214,16,6,"Strikes the foe with a gust
of wind whipped up by wings."
215,16,7,"Strikes the foe
with a gust of wind
whipped up by
wings."
216,16,8,"A gust of wind is
whipped up by wings
and launched at the
foe to inflict damage.
"
217,16,9,"A gust of wind is
whipped up by wings
and launched at the
foe to inflict damage.
"
218,16,10,"A gust of wind is
whipped up by wings
and launched at the
foe to inflict damage.
"
219,16,11,"A gust of wind is whipped up by wings and
launched at the target to inflict damage."
220,16,14,"A gust of wind is whipped up by wings and
launched at the target to inflict damage."
221,16,15,"A gust of wind is whipped up by wings and
launched at the target to inflict damage."
222,16,16,"A gust of wind is whipped up by wings and
launched at the target to inflict damage."
223,16,17,"A gust of wind is whipped up by wings and launched
at the target to inflict damage."
224,16,18,"A gust of wind is whipped up by wings and launched
at the target to inflict damage."
225,17,3,"Strikes the target
with wings."
226,17,4,"Strikes the target
with wings."
227,17,5,"Strikes the foe with wings
spread wide."
228,17,6,"Strikes the foe with wings
spread wide."
229,17,7,"The foe is struck
with large, imposing
wings spread wide."
230,17,8,"The foe is struck
with large, imposing
wings spread wide
to inflict damage.
"
231,17,9,"The foe is struck
with large, imposing
wings spread wide
to inflict damage.
"
232,17,10,"The foe is struck
with large, imposing
wings spread wide
to inflict damage.
"
233,17,11,"The target is struck with large, imposing
wings spread wide to inflict damage."
234,17,14,"The target is struck with large, imposing
wings spread wide to inflict damage."
235,17,15,"The target is struck with large, imposing
wings spread wide to inflict damage."
236,17,16,"The target is struck with large, imposing
wings spread wide to inflict damage."
237,17,17,"The target is struck with large, imposing wings
spread wide to inflict damage."
238,17,18,"The target is struck with large, imposing wings
spread wide to inflict damage."
239,18,3,"Blows away the foe
& ends battle."
240,18,4,"Blows away the foe
& ends battle."
241,18,5,"Blows away the foe with
wind and ends the battle."
242,18,6,"Blows away the foe with
wind and ends the battle."
243,18,7,"The foe is made to
switch out with an
ally. In the wild,
the battle ends."
244,18,8,"The foe is blown away,
to be replaced by
another Pokémon
in its party. In the
wild, the battle ends."
245,18,9,"The foe is blown away,
to be replaced by
another Pokémon
in its party. In the
wild, the battle ends."
246,18,10,"The foe is blown away,
to be replaced by
another Pokémon
in its party. In the
wild, the battle ends."
247,18,11,"The target is blown away, to be replaced
by another Pokémon in its party. In the
wild, the battle ends."
248,18,14,"The target is blown away and switched.
In the wild, a battle against a single
Pokémon ends."
249,18,15,"The target is blown away, and a different
Pokémon is dragged out. In the wild,
this ends a battle against a single Pokémon."
250,18,16,"The target is blown away, and a different
Pokémon is dragged out. In the wild,
this ends a battle against a single Pokémon."
251,18,17,"The target is blown away, and a different Pokémon is
dragged out. In the wild, this ends a battle against a
single Pokémon."
252,18,18,"The target is blown away, and a different Pokémon is
dragged out. In the wild, this ends a battle against a
single Pokémon."
253,19,3,"1st turn: Fly
2nd turn: Attack"
254,19,4,"1st turn: Fly
2nd turn: Attack"
255,19,5,"Flies up on the first turn,
then strikes the next turn."
256,19,6,"Flies up on the first turn,
then strikes the next turn."
257,19,7,"A 2-turn move that
hits on the 2nd
turn. Use it to fly
to any known town."
258,19,8,"The user soars, then
strikes on the second
turn. It can also be
used for flying to
any familiar town."
259,19,9,"The user soars, then
strikes on the second
turn. It can also be
used for flying to
any familiar town."
260,19,10,"The user soars, then
strikes on the second
turn. It can also be
used for flying to
any familiar town."
261,19,11,"The user soars, then strikes its target
on the second turn. It can also be
used for flying to any familiar town."
262,19,14,"The user soars, then strikes its target
on the second turn. It can also be
used for flying to any familiar town."
263,19,15,"The user soars and then strikes
its target on the next turn. This can
also be used to fly to any familiar town."
264,19,16,"The user soars and then strikes
its target on the next turn. This can
also be used to fly to any familiar town."
265,19,17,"The user soars and then strikes its target on the
next turn."
266,19,18,"The user soars and then strikes its target on the
next turn."
267,20,3,"Binds the target
for 2-5 turns."
268,20,4,"Binds the target
for 2-5 turns."
269,20,5,"Binds and squeezes the foe
for 2 to 5 turns."
270,20,6,"Binds and squeezes the foe
for 2 to 5 turns."
271,20,7,"A long body or
tentacles are used
to bind the foe for
two to five turns."
272,20,8,"A long body or
tentacles are used
to bind and squeeze
the foe for two to
five turns."
273,20,9,"A long body or
tentacles are used
to bind and squeeze
the foe for two to
five turns."
274,20,10,"A long body or
tentacles are used
to bind and squeeze
the foe for two to
five turns."
275,20,11,"Things such as long bodies or tentacles
are used to bind and squeeze
the target for four to five turns."
276,20,14,"Things such as long bodies or tentacles
are used to bind and squeeze
the target for four to five turns."
277,20,15,"Things such as long bodies or tentacles
are used to bind and squeeze
the target for four to five turns."
278,20,16,"Things such as long bodies or tentacles
are used to bind and squeeze
the target for four to five turns."
279,20,17,"Things such as long bodies or tentacles are used to
bind and squeeze the target for four to five turns."
280,20,18,"Things such as long bodies or tentacles are used to
bind and squeeze the target for four to five turns."
281,21,3,"Slams the foe with
a tail, vine, etc."
282,21,4,"Slams the foe with
a tail, vine, etc."
283,21,5,"Slams the foe with a long
tail, vine, etc."
284,21,6,"Slams the foe with a long
tail, vine, etc."
285,21,7,"The foe is struck
with a long tail,
vines, etc."
286,21,8,"The foe is slammed
with a long tail,
vines, etc., to inflict
damage.
"
287,21,9,"The foe is slammed
with a long tail,
vines, etc., to inflict
damage.
"
288,21,10,"The foe is slammed
with a long tail,
vines, etc., to inflict
damage.
"
289,21,11,"The target is slammed with a long tail,
vines, etc., to inflict damage."
290,21,14,"The target is slammed with a long tail,
vines, etc., to inflict damage."
291,21,15,"The target is slammed with a long tail,
vines, or the like to inflict damage."
292,21,16,"The target is slammed with a long tail,
vines, or the like to inflict damage."
293,21,17,"The target is slammed with a long tail, vines, or the
like to inflict damage."
294,21,18,"The target is slammed with a long tail, vines, or the
like to inflict damage."
295,22,3,"Whips the foe with
slender vines."
296,22,4,"Whips the foe with
slender vines."
297,22,5,"Strikes the foe with
slender, whiplike vines."
298,22,6,"Strikes the foe with
slender, whiplike vines."
299,22,7,"The foe is struck
with slender, whip­
like vines."
300,22,8,"The foe is struck
with slender, whiplike
vines to inflict
damage.
"
301,22,9,"The foe is struck
with slender, whiplike
vines to inflict
damage.
"
302,22,10,"The foe is struck
with slender, whiplike
vines to inflict
damage.
"
303,22,11,"The target is struck with slender,
whiplike vines to inflict damage."
304,22,14,"The target is struck with slender,
whiplike vines to inflict damage."
305,22,15,"The target is struck with slender,
whiplike vines to inflict damage."
306,22,16,"The target is struck with slender,
whiplike vines to inflict damage."
307,22,17,"The target is struck with slender, whiplike vines to
inflict damage."
308,22,18,"The target is struck with slender, whiplike vines to
inflict damage."
309,23,3,"An attack that may
cause flinching."
310,23,4,"An attack that may
cause flinching."
311,23,5,"Stomps the enemy with a big
foot. May cause flinching."
312,23,6,"Stomps the enemy with a big
foot. May cause flinching."
313,23,7,"The foe is stomped
with a big foot.
It may make the
foe flinch."
314,23,8,"The foe is stomped
with a big foot.
It may also make the
target flinch.
"
315,23,9,"The foe is stomped
with a big foot.
It may also make the
target flinch.
"
316,23,10,"The foe is stomped
with a big foot.
It may also make the
target flinch.
"
317,23,11,"The target is stomped with a big foot.
It may also make the target flinch."
318,23,14,"The target is stomped with a big foot.
It may also make the target flinch."
319,23,15,"The target is stomped with a big foot.
This may also make the target flinch."
320,23,16,"The target is stomped with a big foot.
This may also make the target flinch."
321,23,17,"The target is stomped with a big foot. This may also
make the target flinch."
322,23,18,"The target is stomped with a big foot. This may also
make the target flinch."
323,24,3,"A double kicking
attack."
324,24,4,"A double kicking
attack."
325,24,5,"A double-kicking attack
that strikes the foe twice."
326,24,6,"A double-kicking attack
that strikes the foe twice."
327,24,7,"Two legs are used
to quickly kick the
foe twice in one
turn."
328,24,8,"The foe is quickly
kicked twice in
succession using both
feet.
"
329,24,9,"The foe is quickly
kicked twice in
succession using both
feet.
"
330,24,10,"The foe is quickly
kicked twice in
succession using both
feet.
"
331,24,11,"The target is quickly kicked twice in
succession using both feet."
332,24,14,"The target is quickly kicked twice in
succession using both feet."
333,24,15,"The target is quickly kicked twice in
succession using both feet."
334,24,16,"The target is quickly kicked twice in
succession using both feet."
335,24,17,"The target is quickly kicked twice in succession
using both feet."
336,24,18,"The target is quickly kicked twice in succession
using both feet."
337,25,3,"A powerful kicking
attack."
338,25,4,"A powerful kicking
attack."
339,25,5,"An extremely powerful kick
with intense force."
340,25,6,"An extremely powerful kick
with intense force."
341,25,7,"The foe is attacked
by a kick fired
with muscle-packed
power."
342,25,8,"The foe is attacked
by a kick launched
with muscle-packed
power.
"
343,25,9,"The foe is attacked
by a kick launched
with muscle-packed
power.
"
344,25,10,"The foe is attacked
by a kick launched
with muscle-packed
power.
"
345,25,11,"The target is attacked by a kick launched
with muscle-packed power."
346,25,14,"The target is attacked by a kick launched
with muscle-packed power."
347,25,15,"The target is attacked by a kick launched
with muscle-packed power."
348,25,16,"The target is attacked by a kick launched
with muscle-packed power."
349,25,17,"The target is attacked by a kick launched with
muscle-packed power."
350,25,18,"The target is attacked by a kick launched with
muscle-packed power."
351,26,3,"May miss, damaging
the user."
352,26,4,"May miss, damaging
the user."
353,26,5,"A strong jumping kick. May
miss and hurt the kicker."
354,26,6,"A strong jumping kick. May
miss and hurt the kicker."
355,26,7,"The user jumps up
high, then kicks.
If it misses, the
user hurts itself."
356,26,8,"The user jumps up
high, then strikes
with a kick. If the
kick misses, the
user hurts itself."
357,26,9,"The user jumps up
high, then strikes
with a kick. If the
kick misses, the
user hurts itself."
358,26,10,"The user jumps up
high, then strikes
with a kick. If the
kick misses, the
user hurts itself."
359,26,11,"The user jumps up high, then strikes
with a kick. If the kick misses, the
user hurts itself."
360,26,14,"The user jumps up high, then strikes
with a kick. If the kick misses, the
user hurts itself."
361,26,15,"The user jumps up high, then strikes
with a kick. If the kick misses, the
user hurts itself."
362,26,16,"The user jumps up high, then strikes
with a kick. If the kick misses, the
user hurts itself."
363,26,17,"The user jumps up high, then strikes with a kick.
If the kick misses, the user hurts itself."
364,26,18,"The user jumps up high, then strikes with a kick.
If the kick misses, the user hurts itself."
365,27,3,"A fast, spinning
kick."
366,27,4,"A fast, spinning
kick."
367,27,5,"A fast kick delivered from
a rapid spin."
368,27,6,"A fast kick delivered from
a rapid spin."
369,27,7,"A quick kick from a
rolling spin.
It may make the
foe flinch."
370,27,8,"The user cuts a
quick spin and lashes
out with a sharp
kick.
"
371,27,9,"The user cuts a
quick spin and lashes
out with a sharp
kick.
"
372,27,10,"The user lashes 
out with a quick,
spinning kick. It
may also make the
target flinch."
373,27,11,"The user lashes out with a quick, spinning
kick. It may also make the target flinch."
374,27,14,"The user lashes out with a quick, spinning
kick. It may also make the target flinch."
375,27,15,"The user lashes out with a quick, spinning
kick. This may also make the target flinch."
376,27,16,"The user lashes out with a quick, spinning
kick. This may also make the target flinch."
377,27,17,"The user lashes out with a quick, spinning kick.
This may also make the target flinch."
378,27,18,"The user lashes out with a quick, spinning kick.
This may also make the target flinch."
379,28,3,"Reduces accuracy
by throwing sand."
380,28,4,"Reduces accuracy
by throwing sand."
381,28,5,"Reduces the foe’s accuracy
by hurling sand in its face."
382,28,6,"Reduces the foe’s accuracy
by hurling sand in its face."
383,28,7,"A lot of sand is
hurled in the foe’s
face, reducing its
accuracy."
384,28,8,"Sand is hurled in the
foe’s face, reducing
its accuracy.

"
385,28,9,"Sand is hurled in the
foe’s face, reducing
its accuracy.

"
386,28,10,"Sand is hurled in the
foe’s face, reducing
its accuracy.

"
387,28,11,"Sand is hurled in the target’s face,
reducing its accuracy."
388,28,14,"Sand is hurled in the target’s face,
reducing its accuracy."
389,28,15,"Sand is hurled in the target’s face,
reducing the target’s accuracy."
390,28,16,"Sand is hurled in the target’s face,
reducing the target’s accuracy."
391,28,17,"Sand is hurled in the target’s face, reducing the
target’s accuracy."
392,28,18,"Sand is hurled in the target’s face, reducing the
target’s accuracy."
393,29,3,"An attack that may
make foe flinch."
394,29,4,"An attack that may
make foe flinch."
395,29,5,"A ramming attack that may
cause flinching."
396,29,6,"A ramming attack that may
cause flinching."
397,29,7,"The user sticks its
head out and rams.
It may make the
foe flinch."
398,29,8,"The user sticks its
head out and rams
straight forward.
It may make the
foe flinch."
399,29,9,"The user sticks its
head out and rams
straight forward.
It may make the
foe flinch."
400,29,10,"The user attacks with
its head. It may make
the foe flinch. To find
Pokémon, hit trees."
401,29,11,"The user sticks out its head and attacks
by charging straight into the target.
It may also make the target flinch."
402,29,14,"The user sticks out its head and attacks
by charging straight into the target.
It may also make the target flinch."
403,29,15,"The user sticks out its head and attacks
by charging straight into the target.
This may also make the target flinch."
404,29,16,"The user sticks out its head and attacks
by charging straight into the target.
This may also make the target flinch."
405,29,17,"The user sticks out its head and attacks by charging
straight into the target. This may also make the
target flinch."
406,29,18,"The user sticks out its head and attacks by charging
straight into the target. This may also make the
target flinch."
407,30,3,"An attack using a
horn to jab."
408,30,4,"An attack using a
horn to jab."
409,30,5,"Jabs the foe with sharp
horns."
410,30,6,"Jabs the foe with sharp
horns."
411,30,7,"The foe is jabbed
with a sharply
pointed horn to
inflict damage."
412,30,8,"The foe is jabbed
with a sharply
pointed horn to
inflict damage.
"
413,30,9,"The foe is jabbed
with a sharply
pointed horn to
inflict damage.
"
414,30,10,"The foe is jabbed
with a sharply
pointed horn to
inflict damage.
"
415,30,11,"The target is jabbed with a sharply
pointed horn to inflict damage."
416,30,14,"The target is jabbed with a sharply
pointed horn to inflict damage."
417,30,15,"The target is jabbed with a sharply
pointed horn to inflict damage."
418,30,16,"The target is jabbed with a sharply
pointed horn to inflict damage."
419,30,17,"The target is jabbed with a sharply pointed horn to
inflict damage."
420,30,18,"The target is jabbed with a sharply pointed horn to
inflict damage."
421,31,3,"Jabs the target
2-5 times."
